"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Parameter Value[Chromatogram Name]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Metabolite Assignment File"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"
"Ex1-Col0-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-Col0-48h-Ag-1_1-A,1_01_9818 "	"MSpos-Ex1-Col0-48h-Ag-1_1-A,1_01_9818.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-Col0-48h-Ag-2_1-A,1_01_9820 "	"MSpos-Ex1-Col0-48h-Ag-2_1-A,1_01_9820.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-Col0-48h-Ag-3_1-A,1_01_9822 "	"MSpos-Ex1-Col0-48h-Ag-3_1-A,1_01_9822.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-Col0-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-Col0-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-Col0-48h-Ag-4_1-A,1_01_9824 "	"MSpos-Ex1-Col0-48h-Ag-4_1-A,1_01_9824.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-cyp79-48h-Ag-1_1-B,1_01_9819"	"MSpos-Ex1-cyp79-48h-Ag-1_1-B,1_01_9819.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-cyp79-48h-Ag-2_1-B,2_01_9821"	"MSpos-Ex1-cyp79-48h-Ag-2_1-B,2_01_9821.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-cyp79-48h-Ag-3_1-B,1_01_9823"	"MSpos-Ex1-cyp79-48h-Ag-3_1-B,1_01_9823.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex1-cyp79-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex1-cyp79-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex1-cyp79-48h-Ag-4_1-B,2_01_9825"	"MSpos-Ex1-cyp79-48h-Ag-4_1-B,2_01_9825.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp1"	""	""
"Ex2-Col0-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-Col0-48h-Ag-1_1-A,2_01_9827 "	"MSpos-Ex2-Col0-48h-Ag-1_1-A,2_01_9827.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
"Ex2-Col0-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-Col0-48h-Ag-2_1-A,3_01_9829 "	"MSpos-Ex2-Col0-48h-Ag-2_1-A,3_01_9829.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
"Ex2-Col0-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-Col0-48h-Ag-3_1-A,4_01_9831 "	"MSpos-Ex2-Col0-48h-Ag-3_1-A,4_01_9831.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
"Ex2-Col0-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-Col0-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-Col0-48h-Ag-4_1-A,2_01_9833 "	"MSpos-Ex2-Col0-48h-Ag-4_1-A,2_01_9833.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"Col-0"	""	""	"Exp2"	""	""
"Ex2-cyp79-48h-Ag-1"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-cyp79-48h-Ag-1"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-cyp79-48h-Ag-1_1-B,3_01_9828"	"MSpos-Ex2-cyp79-48h-Ag-1_1-B,3_01_9828.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp2"	""	""
"Ex2-cyp79-48h-Ag-2"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-cyp79-48h-Ag-2"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-cyp79-48h-Ag-2_1-B,4_01_9830"	"MSpos-Ex2-cyp79-48h-Ag-2_1-B,4_01_9830.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp2"	""	""
"Ex2-cyp79-48h-Ag-3"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-cyp79-48h-Ag-3"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-cyp79-48h-Ag-3_1-B,3_01_9832"	"MSpos-Ex2-cyp79-48h-Ag-3_1-B,3_01_9832.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp2"	""	""
"Ex2-cyp79-48h-Ag-4"	"Extraction"	"200 µL methanol/water, 30/70 (v/v)"	"none"	"Ex2-cyp79-48h-Ag-4"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"1001765"	"HSS T3"	"N/A"	""	""	"Mass spectrometry"	"micrOTOF-Q"	"MS"	""	"ESI"	"MS"	"1000073"	"time-of-flight"	"MS"	"1000084"	"Ex2-cyp79-48h-Ag-4_1-B,4_01_9834"	"MSpos-Ex2-cyp79-48h-Ag-4_1-B,4_01_9834.mzData"	"Data normalization"	"N/A"	"Data transformation"	"N/A"	""	"a_mtbl2_metabolite profiling_mass spectrometry_maf.csv"	"cyp79"	""	""	"Exp2"	""	""
